Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Image URL
MSI GeForce RTX 4060 Gaming X,$304.64 USD,MSI,V516-003R,4711377115476,824142330296.0,247 mm,2.5,1,0,1,3,0,0,2595 MHz,8 GB,17000 MHz,115 W,https://m.media-amazon.com/images/I/71UcbpPyPLL._AC_UY218_.jpg
MSI GeForce RTX 4060 Ti Gaming X,$427.96 USD,MSI,V515-015R,4711377102544,824142325629.0,247 mm,2.0,1,0,1,3,0,0,2640 MHz,8 GB,18000 MHz,160 W,https://m.media-amazon.com/images/I/71UcbpPyPLL._AC_UY218_.jpg
MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC,$509.98 USD,MSI,V515-017R,4711377102582,,199 mm,2.5,1,0,1,3,0,0,2565 MHz,8 GB,18000 MHz,160 W,https://m.media-amazon.com/images/I/61q0rsE3ezL._AC_UY218_.jpg
MSI GeForce RTX 4070 Ventus 3X 12G OC,$609.31 USD,MSI,V513-057R,4711377087810,824142319932.0,308 mm,2.25,1,0,1,3,0,0,2505 MHz,12 GB,21000 MHz,200 W,https://m.media-amazon.com/images/I/51e7Cg9xDeL._AC_UY218_.jpg
MSI GeForce RTX 4080 Suprim X,$1436.24 USD,MSI,V511-004R,4711377027205,824142306338.0,336 mm,3.5,0,0,1,3,0,0,MHz,16 GB,22400 MHz,320 W,https://m.media-amazon.com/images/I/51e7Cg9xDeL._AC_UY218_.jpg
MSI Radeon RX 6500 XT Mech 2X OC,$194.13 USD,MSI,V508-003R,4719072929985,824142279465.0,172 mm,2.0,0,1,1,1,0,0,2825 MHz,4 GB,,107 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6600 Mech 2X,$290.14 USD,MSI,V502-035R,4719072882938,824142269091.0,235 mm,2.3,1,0,1,3,0,0,2491 MHz,8 GB,,132 W,https://m.media-amazon.com/images/I/71ZBP3Rhu1L._AC_UY218_.jpg
MSI Radeon RX 6600 XT Mech 2X,$340.92 USD,MSI,V502-004R,4719072860837,824142261408.0,235 mm,2.0,1,0,1,3,0,0,MHz,8 GB,16000 MHz,160 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6650 XT Gaming X,$347.44 USD,MSI,V502-063R,4719072965433,824142290231.0,278 mm,2.5,1,0,3,1,0,0,2694 MHz,8 GB,,180 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6650 XT Mech 2X 8G OC,$224.13 USD,MSI,V502-064R,4719072965440,824142290248.0,235 mm,2.5,1,0,3,1,0,0,2635 MHz,8 GB,,180 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6700 XT Gaming X,$528.28 USD,MSI,V398-007R,4719072806637,824142245187.0,279 mm,3.0,2,0,1,3,0,0,MHz,12 GB,8000 MHz,230 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6700 XT Mech 2X,$500.7 USD,MSI,V398-005R,4719072806620,824142245170.0,247 mm,2.5,2,0,1,3,0,0,2581 MHz,12 GB,,230 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6750 XT Gaming X Trio,$420.71 USD,MSI,V399-003R,4719072961510,824142288757.0,327 mm,2.7,2,0,1,3,0,0,2618 MHz,12 GB,,250 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6750 XT Mech 2X 12G OC,$383.71 USD,MSI,V399-004R,4719072961527,824142288764.0,249 mm,2.7,2,0,1,3,0,0,2618 MHz,12 GB,,250 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
MSI Radeon RX 6800 XT Gaming Z Trio,$870.44 USD,MSI,V395-013R,4719072816186,824142248898.0,324 mm,2.75,3,0,1,3,0,0,2310 MHz,16 GB,,300 W,https://m.media-amazon.com/images/I/71LMPZI-psL._AC_UY218_.jpg
MSI Radeon RX 6950 XT Gaming X Trio,$926.53 USD,MSI,V395-042R,4719072964573,824142288870.0,325 mm,3.0,3,0,1,3,0,0,2454 MHz,16 GB,,340 W,https://m.media-amazon.com/images/I/71LMPZI-psL._AC_UY218_.jpg
MSI Radeon RX 7600 Mech 2X Classic 8G OC,$253.14 USD,MSI,V502-094R,4711377102513,824142325810.0,235 mm,,1,0,1,3,0,0,2695 MHz,8 GB,18000 MHz,165 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
PNY GeForce RTX 3090 XLR8 Gaming EPIC-X RGB,$1717.88 USD,PNY,VCG309024TFXPPB,751492639543,,294 mm,2.75,2,0,1,3,0,0,MHz,24 GB,19500 MHz,350 W,https://m.media-amazon.com/images/I/61ram9dN+PL._AC_UY218_.jpg
PNY GeForce RTX 4080 XLR8 Gaming VERTO Edition,$1175.1 USD,PNY,VCG408016TFXXPB1,751492756400,,332 mm,3.5,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W,https://m.media-amazon.com/images/I/8196MD83TwL._AC_UY218_.jpg
PNY GeForce RTX 4080 XLR8 Gaming VERTO OC Edition,$1196.86 USD,PNY,VCG408016TFXXPB1-O,751492761220,,332 mm,3.5,0,0,1,3,0,0,2550 MHz,16 GB,22400 MHz,320 W,https://m.media-amazon.com/images/I/8196MD83TwL._AC_UY218_.jpg
PNY GeForce RTX 4080 XLR8 Gaming VERTO Triple Fan Edition,$1232.25 USD,PNY,VCG408016TFXPB1,751492761251,,336.9 mm,3.0,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W,https://m.media-amazon.com/images/I/61ram9dN+PL._AC_UY218_.jpg
Sapphire Pulse Radeon RX 6500 XT Gaming OC,$197.72 USD,SAPPHIRE,11314-01-20G,4895106292086,840777087398.0,194 mm,2.0,0,1,1,1,0,0,2825 MHz,4 GB,,107 W,https://m.media-amazon.com/images/I/614Bo0WHIxL._AC_UY218_.jpg
Sapphire Pulse Radeon RX 7600 Gaming,$275.64 USD,SAPPHIRE,11324-01-20G,4895106293618,840777089019.0,240 mm,2.0,1,0,1,3,0,0,2754 MHz,8 GB,18000 MHz,165 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC,$340.92 USD,ZOTAC,ZT-A30600H-10M,4895173622830,810012082099.0,225 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://m.media-amazon.com/images/I/81LUlHjB9YL._AC_UY218_.jpg
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC SPIDER-MAN™ Across the Spider-Verse,$413.46 USD,ZOTAC,ZT-D40610H-10SMP,4895173626982,,225.5 mm,2.2,1,0,1,3,0,0,2550 MHz,8 GB,18000 MHz,160 W,https://m.media-amazon.com/images/I/71N7BLpLAhL._AC_UY218_.jpg
Asus AREZ PH RX 550 2G,$112.43 USD,ASUS,AREZ-PH-RX550-2G,192876023402,192876023402.0,192 mm,2.0,0,0,1,1,1,0,1071 MHz,2 GB,6000 MHz,50 W,https://m.media-amazon.com/images/I/61tyBiV+3lL._AC_UY218_.jpg
Asus CERBERUS GTX 1050 O2G,$154.5 USD,ASUS,CERBERUS-GTX1050-O2G,889349927366,889349927366.0,203 mm,2.0,0,0,1,1,1,0,1544 MHz,2 GB,7008 MHz,75 W,https://m.media-amazon.com/images/I/61tBhT0ZS5L._AC_UY218_.jpg
Asus CERBERUS GTX 1050TI O4G,$205.64 USD,ASUS,CERBERUS-GTX1050TI-O4G,889349927298,889349927298.0,203 mm,2.0,0,0,1,1,1,0,1480 MHz,4 GB,7008 MHz,75 W,https://m.media-amazon.com/images/I/61cWP9uxATL._AC_UY218_.jpg
Asus DUAL GTX 1060 O3G,$235.01 USD,ASUS,DUAL-GTX1060-O3G,779184783312,889349487716.0,242 mm,2.1,0,1,2,2,1,0,1809 MHz,3 GB,8008 MHz,120 W,https://m.media-amazon.com/images/I/71jgfj3ITBL._AC_UY218_.jpg
Asus DUAL GTX 1060 O6G,$268.53 USD,ASUS,DUAL-GTX1060-O6G,889349476086,889349476086.0,242 mm,2.1,0,1,2,2,1,0,1809 MHz,6 GB,8008 MHz,120 W,https://m.media-amazon.com/images/I/71jgfj3ITBL._AC_UY218_.jpg
Asus DUAL RX 580 O4G,$236.31 USD,ASUS,DUAL-RX580-O4G,889349731666,889349731666.0,242 mm,1.0,1,0,2,2,1,0,1380 MHz,4 GB,7000 MHz,185 W,https://m.media-amazon.com/images/I/612B-G96i3L._AC_UY218_.jpg
Asus DUAL RX 580 O8G,$242.26 USD,ASUS,DUAL-RX580-O8G,190198470690,889349735459.0,242 mm,1.0,1,0,2,2,1,0,1380 MHz,8 GB,MHz,185 W,https://m.media-amazon.com/images/I/612B-G96i3L._AC_UY218_.jpg
ASUS GeForce GTX 1050 Ti PH,$188.59 USD,ASUS,90YV0A70-M0NA00,4712900570175,889349570173.0,212 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W,https://m.media-amazon.com/images/I/61cWP9uxATL._AC_UY218_.jpg
