Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Image URL
AMD Ryzen 5 1600,$129.64 USD,AMD,YD1600BBAEBOX,7.30E+11,7.30E+11,3.2 GHz,3.6 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51aCN2BHxjL._AC_UY218_.jpg
AMD Ryzen 5 1600 AF,$197.32 USD,AMD,YD1600BBAFBOX,7.30E+11,,3.2 GHz,3.6 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 5 1600X,$256.26 USD,AMD,YD160XBCAEWOF,7.30E+11,,3.6 GHz,4.0 GHz,TRUE,6,12,95 W,AM4,FALSE,https://m.media-amazon.com/images/I/51aCN2BHxjL._AC_UY218_.jpg
AMD Ryzen 5 2400G,$159.58 USD,AMD,YD2400C5FBBOX,7.30E+11,7.30E+11,3.6 GHz,3.9 GHz,TRUE,4,8,65 W,AM4,Radeon RX Vega 11,https://m.media-amazon.com/images/I/81ewjd+T6rL._AC_UY218_.jpg
AMD Ryzen 5 2600,$181.34 USD,AMD,YD2600BBAFBOX,7.30E+11,7.30E+11,3.4 GHz,3.9 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 5 2600X,$217.11 USD,AMD,YD260XBCAFBOX,7.30E+11,7.30E+11,3.6 GHz,4.1 GHz,TRUE,6,12,95 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 5 3400G,$150.87 USD,AMD,YD3400C5FHBOX,7.30E+11,,3.7 GHz,4.2 GHz,TRUE,4,8,65 W,AM4,Radeon RX Vega 11,https://m.media-amazon.com/images/I/71rKDRYq77L._AC_UY218_.jpg
AMD Ryzen 5 3600,$166.8 USD,AMD,100-100000031BOX,7.30E+11,7.30E+11,3.6 GHz,4.2 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/71Vsm4ohvML._AC_UY218_.jpg
AMD Ryzen 5 3600X,$378.86 USD,AMD,100-100000022BOX,7.30E+11,7.30E+11,3.8 GHz,4.4 GHz,TRUE,6,12,95 W,AM4,FALSE,https://m.media-amazon.com/images/I/51sA0uneSGL._AC_UY218_.jpg
AMD Ryzen 5 3600XT,$239.37 USD,AMD,100-100000281BOX,7.30E+11,,3.8 GHz,4.5 GHz,TRUE,6,12,95 W,AM4,FALSE,https://m.media-amazon.com/images/I/71u+mYxe+UL._AC_UY218_.jpg
AMD Ryzen 5 4500,$126.93 USD,AMD,100-100000644BOX,7.30E+11,,3.6 GHz,4.1 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 7 1700,$363.77 USD,AMD,YD1700BBAEBOX,7.30E+11,7.30E+11,3.0 GHz,3.7 GHz,TRUE,8,16,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51gRv8z+K6L._AC_UY218_.jpg
AMD Ryzen 7 1700X,$426.51 USD,AMD,YD170XBCAEWOF,7.30E+11,7.30E+11,3.4 GHz,3.8 GHz,TRUE,8,16,95 W,AM4,FALSE,https://m.media-amazon.com/images/I/61d5eSkfnpL._AC_UY218_.jpg
