Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Image URL
NZXT H700i Midi-Tower - black/red Window,$174.08 USD,NZXT,CA-H700W-BR,5.0603E+12,8.15671E+11,230 mm,494 mm,516 mm,ATX,ATX,413 mm,185 mm,0/0,7-Mar,0/5,0/0,1,1,0,2,2,7,3,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/61moA9MB8mL._AC_UY218_.jpg
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",$94.29 USD,PHANTEKS,PH-EC400ATG_BK01,8.86523E+11,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,6-Feb,0/4,0/0,1,0,0,0,1,2,0,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UY218_.jpg
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",$107.54 USD,PHANTEKS,PH-EC400ATG_DBK01,8.86523E+11,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,6-Mar,0/4,0/0,1,0,0,0,1,2,0,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UY218_.jpg
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",$79.78 USD,PHANTEKS,PH-EC400ATG_DWT01,8.86523E+11,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,6-Mar,0/4,0/0,1,0,0,0,1,2,0,0,,white,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81JDiPfS3ML._AC_UY218_.jpg
"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_AG,8.86523E+11,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,2,2,0,,"anthracite, gray",FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/51bqMDK189L._AC_UY218_.jpg
"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_BK,8.86523E+11,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,2,2,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/51bqMDK189L._AC_UY218_.jpg
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - black",$190.95 USD,PHANTEKS,PH-ES515ETG_BK,8.86523E+11,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,5-Mar,0/0,0,0,0,2,2,4,5,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/51bqMDK189L._AC_UY218_.jpg
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - silver",$129.1 USD,PHANTEKS,PH-ES515ETG_GS,8.86523E+11,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,5-Mar,0/0,0,0,0,2,2,4,5,0,,silver,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/51bqMDK189L._AC_UY218_.jpg
"PHANTEKS Enthoo Primo Big-Tower, blaue LED - black",$244.44 USD,PHANTEKS,PH-ES813P_BL,8.86523E+11,,250 mm,600 mm,650 mm,E-ATX,ATX,515 mm,207 mm,0/0,0/13,11-May,0/0,0,1,2,2,0,12,6,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/51bqMDK189L._AC_UY218_.jpg
Silverstone SST-RVZ01B Raven Z Mini-ITX - black,$145.97 USD,Silverstone,SST-RVZ01B,4.71001E+12,8.44761E+11,382 mm,350 mm,105 mm,Mini-ITX,SFX,330 mm,83 mm,0/0,3-Feb,0/0,0/0,0,0,0,0,0,3,1,0,,black,FALSE,TRUE,FALSE,FALSE,https://m.media-amazon.com/images/I/71AQiwlLI9L._AC_UY218_.jpg
