Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Image URL
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",$182.79 USD,Corsair,CMK32GX4M4A2400C14,8.44E+11,,DDR4-2400,32 GB,2400,14-16-16-31,4,https://m.media-amazon.com/images/I/71jGZ9WpjTL._AC_UY218_.jpg
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",$95.14 USD,Corsair,CMK8GX4M2B3000C15,8.44E+11,,DDR4-3000,8 GB,3000,15-17-17-35,2,https://m.media-amazon.com/images/I/51W4+1Da0IL._AC_UY218_.jpg
Corsair Vengeance LPX Series black DDR4-3200,$47.14 USD,Corsair,CMK16GX4M2B3200C16,8.44E+11,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",$210.35 USD,Corsair,CMK16GX4M2B3466C16,8.44E+11,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair Vengeance LPX Series white,$47.13 USD,Corsair,CMK16GX4M2B3200C16W,8.44E+11,8.44E+11,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/41-6AlKJYTL._AC_UY218_.jpg
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",$139.36 USD,Corsair,CMK32GX4M2B3200C16W,8.44E+11,8.44E+11,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/614v+nMZ9iL._AC_UY218_.jpg
Corsair Vengeance RGB Pro Series black,$50.04 USD,Corsair,CMW16GX4M2C3200C16,8.44E+11,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
Corsair Vengeance RGB Pro Series black,$90.66 USD,Corsair,CMW16GX4M2C3600C18,8.44E+11,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
Corsair Vengeance RGB Pro Series black,$101.55 USD,Corsair,CMW32GX4M2Z3600C18,8.40E+11,,DDR4-3600,32 GB,3600,18-22-22-42,2,https://m.media-amazon.com/images/I/61GpY38PAWL._AC_UY218_.jpg
Corsair Vengeance RGB Pro Series black,$134.33 USD,Corsair,CMW16GX4M2C3200C14,8.44E+11,,DDR4-3200,16 GB,3200,14-14-14-34,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
Corsair Vengeance RGB Pro Series black,$137.81 USD,Corsair,CMW16GX4M2C3466C16,8.44E+11,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
