Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Image URL
Cougar GX-F,$109.81 USD,Cougar,31TP075.0002,4715302449575,871520007165.0,750 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/8148dO4dqFL._AC_UL320_.jpg
Enermax Platimax,$181.34 USD,Enermax,EPM850EWT,4713157720771,,850 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/61bR-f5-plL._AC_UY218_.jpg
Enermax Platimax D.F.,$151.71 USD,Enermax,EPF600AWT,4713157722300,,600 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/61fzW+jJgUL._AC_UY218_.jpg
EVGA 1000GQ,$192.22 USD,EVGA,210-GQ-1000-V1,792745451321,843368035662.0,1000 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71779G+G+YL._AC_UY218_.jpg
EVGA 400 N1,$36.26 USD,EVGA,100-N1-0400-L1,846830070406,843368031114.0,400 W,ATX,80 Plus,https://m.media-amazon.com/images/I/613q-qcSwcL._AC_UY218_.jpg
EVGA 430 W1,$37.02 USD,EVGA,100-W1-0430-KR,7426801753786,731215283987.0,430 W,ATX,80 Plus,https://m.media-amazon.com/images/I/719Dlu50SSL._AC_UY218_.jpg
EVGA 450 B3,$58.02 USD,EVGA,220-B3-0450-V1,843368045043,843368045043.0,450 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/51gAC-ddzrL._AC_UY218_.jpg
EVGA 450 BT,$54.4 USD,EVGA,100-BT-0450-K1,843368046071,843368046071.0,450 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/613q-qcSwcL._AC_UY218_.jpg
EVGA 500 B1,$48.2 USD,EVGA,100-B1-0500-KR,803982895851,807030509783.0,500 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/61v6z9wYWyL._AC_UY218_.jpg
EVGA 500 BQ,$54.89 USD,EVGA,110-BQ-0500-K1,843368043346,843368043346.0,500 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61GI0LVrsTL._AC_UY218_.jpg
EVGA 500 W1,$25.38 USD,EVGA,100-W1-0500-KR,843368026318,843368026318.0,500 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61v6z9wYWyL._AC_UY218_.jpg
EVGA 550 B3,$77.46 USD,EVGA,220-B3-0550-V1,843368045098,843368045098.0,550 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71W44KNoPkL._AC_UY218_.jpg
EVGA 550 N1,$64.54 USD,EVGA,100-N1-0550-L1,843368040246,843368040246.0,550 W,ATX,80 Plus,https://m.media-amazon.com/images/I/81kjvnj0WkL._AC_UY218_.jpg
EVGA 600 BQ,$66.15 USD,EVGA,110-BQ-0600-K1,843368043292,843368043292.0,600 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61GI0LVrsTL._AC_UY218_.jpg
EVGA 600 W1,$49.31 USD,EVGA,100-W1-0600-KR,843368043667,843368043667.0,600 W,ATX,80 Plus,https://m.media-amazon.com/images/I/71GNnNSyIrL._AC_UY218_.jpg
EVGA 600B,$56.56 USD,EVGA,100-B1-0600-KR,4250812404497,,600 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71GNnNSyIrL._AC_UY218_.jpg
EVGA 650 B3,$78.3 USD,EVGA,220-B3-0650-V1,843368045142,843368045142.0,650 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/519wWnrOVaL._AC_UY218_.jpg
EVGA 650 BQ,$54.4 USD,EVGA,110-BQ-0650-V1,843368036553,843368036553.0,650 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61GI0LVrsTL._AC_UY218_.jpg
EVGA 650 GQ,$61.65 USD,EVGA,210-GQ-0650-V1,843368035709,843368035709.0,650 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61K-FrcoROL._AC_UY218_.jpg
EVGA 650 N1,$54.4 USD,EVGA,100-N1-0650-L1,843368040277,843368040277.0,650 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61-WPd9RvJL._AC_UY218_.jpg
