Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Image URL
"Arctic Freezer 33 TR , white - 120mm",$47.06 USD,Arctic,ACFRE00039A,4895213700498,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61nnr10grYL._AC_UY218_.jpg
Arctic Freezer 34 CO - 120mm,$26.83 USD,Arctic,ACFRE00051A,4895213701488,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61U+-vptquL._AC_UY218_.jpg
"Arctic Freezer 34 eSports , 120mm - red",$43.52 USD,Arctic,ACFRE00056A,4895213701792,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61U+-vptquL._AC_UY218_.jpg
"Arctic Freezer 34 eSports , 120mm - white",$60.48 USD,Arctic,ACFRE00057A,4895213701808,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61U+-vptquL._AC_UY218_.jpg
Arctic Freezer 7 Pro PWM Rev.2 - 92mm,$27.44 USD,Arctic,DCACO-FP701-CSA01,872767002494,,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","126,5 mm",,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
Arctic Freezer Xtreme Rev.2 - 120mm,$41.4 USD,Arctic,UCACO-P0900-CSB01,872767002432,872767002432.0,"1150, 1151, 1155, 1156, 1366, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",145 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61zNawwHfzL._AC_UY218_.jpg
Arctic Liquid Freezer II Processor,$67.29 USD,Arctic,ACFRE00067A,4895213701969,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,1,0,0,False,https://m.media-amazon.com/images/I/61UvhPy9dIL._AC_UY218_.jpg
be quiet! Dark Rock 3,$76.37 USD,be quiet!,BK018,4260052183618,4260052183618.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Dark Rock Pro 3,$90.14 USD,be quiet!,BK019,4260052183625,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",163 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71qNyofVTkL._AC_UY218_.jpg
be quiet! Dark Rock Pro TR4 - black,$87.76 USD,be quiet!,BK023,4260052186985,4260052186985.0,"TR4, sTRX4",163 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71B5fTHeR+L._AC_UY218_.jpg
be quiet! Dark Rock Slim - 120mm,$68.17 USD,be quiet!,BK024,4260052187319,4260052187319.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","159,4 mm",,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Dark Rock TF - 135/135mm,$88.44 USD,be quiet!,BK020,4260052184233,4260052184233.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+","130,8 mm",,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71B5fTHeR+L._AC_UY218_.jpg
be quiet! Dark Rock TF 2 - 135/135mm,$111.15 USD,be quiet!,BK031,4260052188705,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM4, AM3+, AM5, 1700",134 mm,230 W,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Pure Loop 2 FX,$137.08 USD,be quiet!,BW014,4260052189030,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,0,2,0,False,https://m.media-amazon.com/images/I/714HYKhUWDL._AC_UY218_.jpg
be quiet! Pure Loop 2 FX,$156.38 USD,be quiet!,BW013,4260052189023,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,2,0,0,False,https://m.media-amazon.com/images/I/714HYKhUWDL._AC_UY218_.jpg
be quiet! Pure Loop 2 FX,$173.71 USD,be quiet!,BW015,4260052189047,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,3,0,0,False,https://m.media-amazon.com/images/I/714HYKhUWDL._AC_UY218_.jpg
be quiet! Pure Rock 2 - 120mm,$42.78 USD,be quiet!,BK006,4260052187920,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Pure Rock 2 Black - 120mm,$51.69 USD,be quiet!,BK007,4260052187968,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,150 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Pure Rock Slim - 92mm,$35.53 USD,be quiet!,BK008,4260052185254,4260052185254.0,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",125 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/718EaeGMoOL._AC_UY218_.jpg
be quiet! Pure Rock Slim 2 - 92mm,$31.9 USD,be quiet!,BK030,4260052188453,,"1200, 1150, 1151, 1155, AM4, AM3+, AM5, 1700",135 mm,130 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71pJ93JSw9L._AC_UY218_.jpg
be quiet! Shadow Rock 3 - 120mm,$57.29 USD,be quiet!,BK004,4260052187852,,"1150, 1151, 1155, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Shadow Rock 3 White - 120mm,$60.92 USD,be quiet!,BK005,4260052188309,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Shadow Rock LP Low Profile - 120mm,$39.16 USD,be quiet!,BK002,4260052184226,4260052184226.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","75,4 mm",,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71TRuxmVChL._AC_UY218_.jpg
be quiet! Shadow Rock Slim,$61.31 USD,be quiet!,BK010,4260052183632,4260052183632.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",161 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
be quiet! Shadow Rock TF2 - 135mm,$77.01 USD,be quiet!,BK003,4260052185391,4260052185391.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",137 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
Cooler Master Hyper 212 EVO V2 - 120mm,$47.2 USD,Cooler Master,RR-2V2E-18PK-R1,4719512101476,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM2+, FM2+, FM1",155 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71yaJKTZ7IL._AC_UY218_.jpg
Cooler Master Hyper H412R - 92mm,$21.02 USD,Cooler Master,RR-H412-20PK-R2,4719512064368,884102037030.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775",136 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71gBjYy2vfL._AC_UY218_.jpg
Cooler Master Hyper T2 - Compact with Dual Looped Direct Contact Heatpipes,$14.5 USD,Cooler Master,RR-HT2-28PK-R1,884102026317,884102026317.0,"1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",140 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71GBebBHzcL._AC_UY218_.jpg
"Cooler Master MasterAir G100M, RGB - 100mm",$30.46 USD,Cooler Master,MAM-G1CN-924PC-R1,4719512065341,884102037863.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","74,5 mm",,0,0,0,0,0,False,https://m.media-amazon.com/images/I/714Ea0Gag3L._AC_UY218_.jpg
Cooler Master MasterAir MA410M RGB - 2x120mm PWM,$57.06 USD,Cooler Master,MAM-T4PN-218PC-R1,4719512067239,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","165,1 mm",,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71RmdK55t0L._AC_UY218_.jpg
