Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Image URL
ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,$77.33 USD,Asus,90MB0RR0-M0EAY0,4.71E+12,,1151,B150,FALSE,Micro-ATX,DDR4, GB,4,4,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/71CwK+Gx86L._AC_UY218_.jpg
Asus ROG RAMPAGE VI EXTREME,$760.77 USD,Asus,ROG RAMPAGE VI EXTREME,8.89E+11,8.89E+11,2066,X299,TRUE,E-ATX,DDR4,128 GB,8,6,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/61pUVB9pJSL._AC_UY218_.jpg
Asus TUF X299 MARK 1,$302.42 USD,Asus,TUF X299 MARK 1,8.89E+11,8.89E+11,2066,X299,TRUE,ATX,DDR4,128 GB,8,8,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/71Dq8+22SwL._AC_UY218_.jpg
Gigabyte Aorus X399 Gaming 7,$386.78 USD,Gigabyte,X399 AORUS Gaming 7,4.72E+12,8.90E+11,TR4,X399,TRUE,ATX,DDR4,128 GB,8,8,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81Xs4KNsUgL._AC_UY218_.jpg
Gigabyte Aorus Z270X-Gaming 5,$204.87 USD,Gigabyte,GA-Z270X-Gaming 5,4.72E+12,8.90E+11,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81JFKzNyl+L._AC_UY218_.jpg
Gigabyte Aorus Z270X-Gaming 9,$143.68 USD,Gigabyte,GA-Z270X-Gaming 9,4.72E+12,8.90E+11,1151,Z270,TRUE,E-ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81a48Z1GciL._AC_UY218_.jpg
Gigabyte B250M-DS3H,$63.18 USD,Gigabyte,GA-B250M-DS3H,4.72E+12,8.90E+11,1151,B250,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/91SYeZg1GWL._AC_UY218_.jpg
Gigabyte B360 HD3,$91.34 USD,Gigabyte,B360 HD3,4.72E+12,8.90E+11,1151,B360,FALSE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/819loXNzHQL._AC_UY218_.jpg
Gigabyte B360M D3H,$79.04 USD,Gigabyte,B360M D3H,4.72E+12,8.90E+11,1151,B360,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71bl-RImMsL._AC_UY218_.jpg
Gigabyte B360M DS3H,$76.16 USD,Gigabyte,B360M DS3H,4.72E+12,8.90E+11,1151,B360,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/819loXNzHQL._AC_UY218_.jpg
